year,site,AGSM,ALTE,ARFR,ARLO,ASGR,ASOX,BOGR,BUDA,CAFI,CAHE,CHAL,CHLE,CHNA,CHVI,COVI,EREF,EUGL,FEOC,FORB,GACO,GRSQ,GUSA,HASP,HOJU,IPLA,LARE,LEDE,LIIN,LUPU,LYJU,MATA,MILI,MUTO,OECO,OPPO,PEAL,PEAN,PEGR,PESE,PIOP,PLPA,POOL,PSTE,SAIB,SCPA,SETR,SIHY,SPCO,SPCR,STCO,TAPA,THFI,THME,TOGR,TRDU,TROC
2001,1,1.818,0,2.536666667,1.525333333,0,0.192666667,3.475333333,2.815333333,0,1.268666667,0,0.007333333,0,0,0,0.020666667,0,0.012,0,0,0,1.988,0,0,0,0,0.028666667,0,0,0,0,0.050666667,0,0,2.151333333,0,0,0,0,0.082666667,0,0,0.977333333,0,0,0,0.289333333,0.27,0,0.09,0,0,0,0.032666667,0,0
2002,1,0.075,0,0.05,0.258571429,0,0,1.28,0.558571429,0,0.018571429,0,0,0,0,0,0,0,0,0,0,0,0.110714286,0,0,0,0,0,0,0,0,0,0.002857143,0,0,5.462857143,0,0,0,0,0.004285714,0,0,0,0,0,0,0,0.146428571,0.000714286,0,0,0,0,0,0,0
,,0.59885,0.0004,0.760866667,0.609761905,0.037666667,0.060533333,8.089766667,1.887028571,0.002333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2,1.396,0,0,0.019333333,0,0,18.97466667,0,0,1.534,0,0.168,0,0,0,0,0,0.22,0.122666667,0,0,0.033333333,0,0,0,0,0.117333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010666667,0,0,0,0,0,0,0.431333333,0,0,0,0,0,0,0,0
84,2,1.088666667,0,0,0.206666667,0,0,15.31133333,0,0,1.178,0,0,0,0,0,0,0,0,0.377333333,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055333333,0,0,0,0.101333333,0.557333333,0,0,0,0,0,0,0,0
85,2,0,0,1.513333333,0.097333333,0,0,13.46266667,0,0,1.688666667,0,0,0,0,0,0,0,0,0.036666667,0,0,0.284666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331333333,0,0,0,0,0,0,0,0
86,2,0,0,0,0,0,0,6.243333333,0,0,1.832666667,0,0,0,0,0,0,0,0.04,0.254666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0
87,2,1.362666667,0,2.022666667,0.09,0,0,9.312,0,0,2.035333333,0,0,0,0,0,0,0,0.037333333,0.224,0,0,1.697333333,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0.376666667,0,0,0,0,0,0,0,0
88,2,0.573333333,0,0.617333333,0,0,0,9.838,0,0,2.236666667,0,0,0,0,0,0,0,0,0.073333333,0,0,0.241333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149333333,0.498666667,0,0,0,0,0,0,0,0
89,2,0.164666667,0,0.599333333,0.598666667,0,0,8.952666667,0,0,1.256666667,0,0.139333333,0,0,0,0,0,0,0.432666667,0,0,0.338666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0
90,2,1.698,0,0.092666667,1.225333333,0,0,9.114,0,0,1.582,0,0.079333333,0,0,0,0,0,0,1.197333333,0,0,0.173333333,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103333333,0,0,0,0,0.884,0,0,0,0,0,0,0,0
91,2,0.385333333,0,0.000666667,1.715333333,0,0,15.234,0,0,2.266,0,0.332666667,0,0,0,0,0,0,1.476,0,0,0.268666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144666667,0.457333333,0,0,0,0,0,0,0,0
92,2,1.358666667,0,0,0.803333333,0,0,8.827333333,2.862666667,0,1.274,0,0.036666667,0,0,0,0,0,0,0.433333333,0,0,0.494666667,0,0,0,0,0.047333333,0,0,0,0,0,0,0,1.912666667,0,0,0,0,0,0.100666667,0,0,0,0,0,0,0.379333333,0,0,0,0,0,0,0,0
93,2,0.996666667,0,0,0.75,0,0,2.762666667,2.094,0,1.254,0,0.008,0,0,0,0,0,0,0.086,0,0,0.999333333,0,0,0,0,0.008666667,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0.059333333,0,0,0,0,0,0,0.257333333,0,0,0,0,0,0,0,0
94,2,1.172666667,0,0,1.510666667,0,0,5.89,3.301333333,0,1.451333333,0,0,0,0,0,0,0,0.009333333,0.284666667,0,0,0.593333333,0,0,0,0,0.191333333,0,0,0,0,0,0,0,1.946666667,0,0,0,0,0,0.006666667,0,0.097333333,0,0,0,0.038666667,0.266,0,0,0,0,0,0,0,0
95,2,2.188666667,0.013333333,0,2.802,0.008666667,0.008,5.572,4.165333333,0.598,1.024666667,0,1.157333333,0,0,0,0,0,0.621333333,0.158,0,0,1.039333333,0,0,0,0,1.758666667,0,0,0,0.006,0,0,0,0.843333333,0.153333333,0.153333333,0.133333333,0,0,0.095333333,0,1.336666667,3.146666667,0,0,0.395333333,0.398,0,0,0,0,0,0,0,0
96,2,1.994285714,0.003571429,0.068571429,1.763571429,0,0,13.89714286,0.391428571,0,1.244285714,0,0,0.457857143,0,0,0,0.007142857,0.04,0,0,0,0.420714286,0.102142857,0,0.006428571,0,0,0,0,0,0,0.066428571,0,0,0.172142857,0.005714286,0,0,0,0,0.016428571,0,0,0,0,0,0.944285714,0.334285714,0,0,0,0,0,0,0.013571429,0.009285714
